DATE,BLOCK,PLOT,BURNED,RODENTS,TRANSECT,SPECIES,1,2,3,4,5,6,7,8,9,10,11,12,mean,OrangeFrame,Density (m^2)
2013,1,US,U,S,1,ELEL,0,0,1,0,0,0,0,0,1,0,0,0,0.166666667,N,1.333333333
2013,1,US,U,S,1,ACHY,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,US,U,S,1,POSA,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,US,U,S,1,BRTE,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0
2013,1,US,U,S,1,HOVU,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,US,U,S,1,ALAL,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,US,U,S,1,DEPI,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,US,U,S,1,HAGL,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,US,U,S,1,MEAL,1,0,0,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,US,U,S,1,RATE,23,8,12,0,10,2,7,0,3,14,28,11,9.833333333,N,78.66666667
2013,1,US,U,S,1,SIAL2,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,ELEL,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,ACHY,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,POSA,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,BRTE,0,0,0,0,0,0,0,0,0,0,0,4,0.333333333,Y,13.33333333
2013,1,UN,U,N,1,HOVU,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,ALAL,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,DEPI,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,HAGL,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
2013,1,UN,U,N,1,MEAL,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0
